"","registration_area","registration_region","tot_number_new_cases","pop_number","prob","infections10","infections100","infections500","infections1000","join"
"57","Луганська","Луганськ",NA,NA,NA,-1,-1,-1,-1,"ЛуганськаЛуганськ"
"58","Луганська","Первомайськ",NA,NA,NA,-1,-1,-1,-1,"ЛуганськаПервомайськ"
"59","Севастопольська","Нахімовський район",NA,NA,NA,-1,-1,-1,-1,"СевастопольськаНахімовський район"
"60","Севастопольська","Севастополь",NA,NA,NA,-1,-1,-1,-1,"СевастопольськаСевастополь"
"61","Вінницька","Барський район",141,50000,0.00282,0,0,1,3,"ВінницькаБарський район"
"62","Вінницька","Бершадський район",279,56776,0.00491404818937579,0,0,2,5,"ВінницькаБершадський район"
"63","Вінницька","Вінницький район",396,81278,0.00487216713009671,0,0,2,5,"ВінницькаВінницький район"
"64","Вінницька","Вінниця",3849,370707,0.0103828630158049,0,1,5,10,"ВінницькаВінниця"
"65","Вінницька","Гайсинський район",225,55331,0.00406643653648045,0,0,2,4,"ВінницькаГайсинський район"
"66","Вінницька","Жмеринка",237,34353,0.0068989607894507,0,1,3,7,"ВінницькаЖмеринка"
"67","Вінницька","Жмеринський район",156,32552,0.00479233226837061,0,0,2,5,"ВінницькаЖмеринський район"
"68","Вінницька","Залізничне",3,975,0.00307692307692308,0,0,2,3,"ВінницькаЗалізничне"
"69","Вінницька","Іллінецький район",330,36249,0.00910369941239758,0,1,5,9,"ВінницькаІллінецький район"
"70","Вінницька","Калинівський район",381,56268,0.00677116656003412,0,1,3,7,"ВінницькаКалинівський район"
"71","Вінницька","Козятин",327,22951,0.0142477451962877,0,1,7,14,"ВінницькаКозятин"
"72","Вінницька","Козятинський район",291,37618,0.00773565846137487,0,1,4,8,"ВінницькаКозятинський район"
"73","Вінницька","Крижопільський район",54,32134,0.00168046306093235,0,0,1,2,"ВінницькаКрижопільський район"
"74","Вінницька","Ладижин",51,22589,0.00225773606622692,0,0,1,2,"ВінницькаЛадижин"
"75","Вінницька","Липовецький район",216,36123,0.00597956980317249,0,1,3,6,"ВінницькаЛиповецький район"
"76","Вінницька","Літинський район",264,33691,0.00783592057225965,0,1,4,8,"ВінницькаЛітинський район"
"77","Вінницька","Могилів-Подільський",78,30389,0.0025667182204087,0,0,1,3,"ВінницькаМогилів-Подільський"
"78","Вінницька","Могилів-Подільський район",51,31793,0.00160412669455541,0,0,1,2,"ВінницькаМогилів-Подільський район"
"79","Вінницька","Мурованокуриловецький район",21,23971,0.000876058570773017,0,0,0,1,"ВінницькаМурованокуриловецький район"
"80","Вінницька","Немирівський район",276,46906,0.00588410864281755,0,1,3,6,"ВінницькаНемирівський район"
"81","Вінницька","Оратівський район",42,19809,0.00212024837195214,0,0,1,2,"ВінницькаОратівський район"
"82","Вінницька","Піщанський район",33,20021,0.00164826931721692,0,0,1,2,"ВінницькаПіщанський район"
"83","Вінницька","Погребищенський район",93,28321,0.00328378235231807,0,0,2,3,"ВінницькаПогребищенський район"
"84","Вінницька","Теплицький район",234,26946,0.00868403473613895,0,1,4,9,"ВінницькаТеплицький район"
"85","Вінницька","Тиврівський район",579,40873,0.0141658307440119,0,1,7,14,"ВінницькаТиврівський район"
"86","Вінницька","Томашпільський район",255,31944,0.00798271975957926,0,1,4,8,"ВінницькаТомашпільський район"
"87","Вінницька","Тростянецький район",54,34304,0.00157416044776119,0,0,1,2,"ВінницькаТростянецький район"
"88","Вінницька","Тульчинський район",132,53426,0.00247070714633325,0,0,1,2,"ВінницькаТульчинський район"
"89","Вінницька","Хмільник",117,27398,0.00427038469961311,0,0,2,4,"ВінницькаХмільник"
"90","Вінницька","Хмільницький район",120,34576,0.0034706154558075,0,0,2,3,"ВінницькаХмільницький район"
"91","Вінницька","Чернівецький район",12,20209,0.000593794843881439,0,0,0,1,"ВінницькаЧернівецький район"
"92","Вінницька","Чечельницький район",33,20120,0.00164015904572565,0,0,1,2,"ВінницькаЧечельницький район"
"93","Вінницька","Шаргородський район",213,55359,0.00384761285427844,0,0,2,4,"ВінницькаШаргородський район"
"94","Вінницька","Ямпільський район",84,38110,0.00220414589346628,0,0,1,2,"ВінницькаЯмпільський район"
"95","Волинська","Благодатне",36,4666,0.00771538791255894,0,1,4,8,"ВолинськаБлагодатне"
"96","Волинська","Володимир-Волинський",786,38340,0.0205007824726135,0,2,10,21,"ВолинськаВолодимир-Волинський"
"97","Волинська","Володимир-Волинський район",270,24545,0.0110002037074761,0,1,6,11,"ВолинськаВолодимир-Волинський район"
"98","Волинська","Горохівський район",552,50220,0.0109916367980884,0,1,5,11,"ВолинськаГорохівський район"
"99","Волинська","Іваничівський район",105,31231,0.00336204412282668,0,0,2,3,"ВолинськаІваничівський район"
"100","Волинська","Камінь-Каширський район",333,63919,0.00520971855003989,0,1,3,5,"ВолинськаКамінь-Каширський район"
"101","Волинська","Ківерцівський район",705,63576,0.0110890902227256,0,1,6,11,"ВолинськаКіверцівський район"
"102","Волинська","Ковель",759,68240,0.0111225087924971,0,1,6,11,"ВолинськаКовель"
"103","Волинська","Ковельський район",210,40395,0.0051986632008912,0,1,3,5,"ВолинськаКовельський район"
"104","Волинська","Локачинський район",261,21586,0.0120911702029093,0,1,6,12,"ВолинськаЛокачинський район"
"105","Волинська","Луцьк",321,217315,0.00147711846858247,0,0,1,1,"ВолинськаЛуцьк"
"106","Волинська","Луцький район",303,66875,0.00453084112149533,0,0,2,5,"ВолинськаЛуцький район"
"107","Волинська","Любешівський район",504,35134,0.0143450788410087,0,1,7,14,"ВолинськаЛюбешівський район"
"108","Волинська","Любомльський район",309,38578,0.00800974648763544,0,1,4,8,"ВолинськаЛюбомльський район"
"109","Волинська","Маневицький район",642,53481,0.0120042631962753,0,1,6,12,"ВолинськаМаневицький район"
"110","Волинська","Нововолинськ",285,51010,0.00558713977651441,0,1,3,6,"ВолинськаНововолинськ"
"111","Волинська","Ратнівський район",501,51817,0.00966864156550939,0,1,5,10,"ВолинськаРатнівський район"
"112","Волинська","Рожищенський район",273,38359,0.00711697385229021,0,1,4,7,"ВолинськаРожищенський район"
"113","Волинська","Старовижівський район",120,29660,0.00404585300067431,0,0,2,4,"ВолинськаСтаровижівський район"
"114","Волинська","Турійський район",318,25889,0.0122832090849395,0,1,6,12,"ВолинськаТурійський район"
"115","Волинська","Шацький район",129,16585,0.00777811275248719,0,1,4,8,"ВолинськаШацький район"
"116","Дніпропетровська","Апостолівський район",66,52509,0.00125692738387705,0,0,1,1,"ДніпропетровськаАпостолівський район"
"117","Дніпропетровська","Васильківський район",30,31093,0.000964847393303959,0,0,0,1,"ДніпропетровськаВасильківський район"
"118","Дніпропетровська","Верхньодніпровський район",18,51469,0.000349725077230955,0,0,0,0,"ДніпропетровськаВерхньодніпровський район"
"119","Дніпропетровська","Вільногірськ",15,22675,0.000661521499448732,0,0,0,1,"ДніпропетровськаВільногірськ"
"120","Дніпропетровська","Дніпро",969,990724,0.00097807260145106,0,0,0,1,"ДніпропетровськаДніпро"
"121","Дніпропетровська","Дніпровський район",111,83879,0.00132333480370534,0,0,1,1,"ДніпропетровськаДніпровський район"
"122","Дніпропетровська","Жовті Води",21,43591,0.00048175082012342,0,0,0,0,"ДніпропетровськаЖовті Води"
"123","Дніпропетровська","Кам’янське",294,231915,0.00126770584050191,0,0,1,1,"ДніпропетровськаКам’янське"
"124","Дніпропетровська","Карнаухівка",12,6645,0.0018058690744921,0,0,1,2,"ДніпропетровськаКарнаухівка"
"125","Дніпропетровська","Кривий Ріг",1077,619278,0.00173912200982434,0,0,1,2,"ДніпропетровськаКривий Ріг"
"126","Дніпропетровська","Криворізький район",72,43807,0.00164357294496313,0,0,1,2,"ДніпропетровськаКриворізький район"
"127","Дніпропетровська","Криничанський район",9,34133,0.0002636744499458,0,0,0,0,"ДніпропетровськаКриничанський район"
"128","Дніпропетровська","Магдалинівський район",0,32844,0,0,0,0,0,"ДніпропетровськаМагдалинівський район"
"129","Дніпропетровська","Марганець",6,46097,0.000130160314120225,0,0,0,0,"ДніпропетровськаМарганець"
"130","Дніпропетровська","Межівський район",15,22579,0.000664334115771292,0,0,0,1,"ДніпропетровськаМежівський район"
"131","Дніпропетровська","Нікополь",63,109122,0.000577335459394073,0,0,0,1,"ДніпропетровськаНікополь"
"132","Дніпропетровська","Нікопольський район",21,38879,0.000540137349211657,0,0,0,1,"ДніпропетровськаНікопольський район"
"133","Дніпропетровська","Новомосковськ",57,70357,0.000810153929246557,0,0,0,1,"ДніпропетровськаНовомосковськ"
"134","Дніпропетровська","Новомосковський район",36,71613,0.000502702023375644,0,0,0,1,"ДніпропетровськаНовомосковський район"
