registration_area,registration_region,tot_number_new_cases,pop_number,prob,infections10,infections100,infections500,infections1000
Тернопільська,Заліщицький район,498,44966,0.0110750344704888,0,1,6,11
Тернопільська,Збаразький район,357,55844,0.00639280853807034,0,1,3,6
Тернопільська,Зборівський район,159,39947,0.0039802738628683,0,0,2,4
Тернопільська,Козівський район,195,36394,0.00535802604824971,0,1,3,5
Тернопільська,Кременецький район,375,45884,0.00817278354110365,0,1,4,8
Тернопільська,Лановецький район,147,28410,0.00517423442449842,0,1,3,5
Тернопільська,Монастириський район,453,25889,0.0174977789794894,0,2,9,17
Тернопільська,Підволочиський район,654,40668,0.0160814399527884,0,2,8,16
Тернопільська,Підгаєцький район,261,17534,0.0148853655754534,0,1,7,15
Тернопільська,Теребовлянський район,507,62962,0.00805247609669324,0,1,4,8
Тернопільська,Тернопіль,2244,223462,0.0100419758169174,0,1,5,10
Тернопільська,Тернопільський район,831,67199,0.0123662554502299,0,1,6,12
Тернопільська,Чортківський район,852,42832,0.019891669779604,0,2,10,20
Тернопільська,Шумський район,366,32625,0.0112183908045977,0,1,6,11
Харківська,Балаклійський район,654,78337,0.00834854538723719,0,1,4,8
Харківська,Барвінківський район,90,20087,0.00448050978244636,0,0,2,4
Харківська,Близнюківський район,66,17799,0.00370807348727457,0,0,2,4
Харківська,Богодухівський район,579,37563,0.015414104304768,0,2,8,15
Харківська,Борівський район,243,15972,0.0152141247182569,0,2,8,15
Харківська,Валківський район,267,30791,0.00867136500925595,0,1,4,9
Харківська,Великобурлуцький район,159,21256,0.00748024087316522,0,1,4,7
Харківська,Вовчанський район,363,44448,0.00816684665226782,0,1,4,8
Харківська,Дворічанський район,147,16568,0.00887252535007243,0,1,4,9
Харківська,Дергачівський район,168,92829,0.00180977927156384,0,0,1,2
Харківська,Зачепилівський район,243,14491,0.0167690290525154,0,2,8,17
Харківська,Зміївський район,453,69135,0.00655239748318507,0,1,3,7
Харківська,Золочівський район,306,24739,0.012369133756417,0,1,6,12
Харківська,Ізюм,18,46653,0.000385827277988554,0,0,0,0
Харківська,Ізюмський район,90,16416,0.00548245614035088,0,1,3,5
Харківська,Кегичівський район,135,20353,0.00663292880656414,0,1,3,7
