registration_area,registration_region,tot_number_new_cases,pop_number,prob,infections10,infections100,infections500,infections1000
Кіровоградська,Компаніївський район,66,14694,0.00449162923642303,0,0,2,4
Кіровоградська,Кропивницький,1413,225339,0.0062705523677659,0,1,3,6
Кіровоградська,Кропивницький район,75,36353,0.0020631034577614,0,0,1,2
Кіровоградська,Маловисківський район,96,41251,0.00232721630990764,0,0,1,2
Кіровоградська,Новгородківський район,69,14831,0.00465241723417167,0,0,2,5
Кіровоградська,Новоархангельський район,48,23524,0.00204046930794083,0,0,1,2
Кіровоградська,Новомиргородський район,30,27395,0.00109509034495346,0,0,1,1
Кіровоградська,Новоукраїнський район,153,39968,0.00382806244995997,0,0,2,4
Кіровоградська,Олександрівський район,60,25800,0.00232558139534884,0,0,1,2
Кіровоградська,Олександрійське,6,4679,0.00128232528318017,0,0,1,1
Кіровоградська,Олександрійський район,48,33659,0.00142606732226151,0,0,1,1
Кіровоградська,Олександрія,387,78366,0.00493836612816783,0,0,2,5
Кіровоградська,Онуфріївський район,51,17250,0.00295652173913043,0,0,1,3
Кіровоградська,Пантаївка,3,2627,0.00114198705748002,0,0,1,1
Кіровоградська,Петрівський район,108,22946,0.00470670269327987,0,0,2,5
Кіровоградська,Світловодськ,96,44466,0.0021589529078397,0,0,1,2
Кіровоградська,Світловодський район,9,11397,0.000789681495130297,0,0,0,1
Кіровоградська,Устинівський район,27,12311,0.00219316058809195,0,0,1,2
Луганська,Біловодський район,93,22856,0.00406895344767238,0,0,2,4
Луганська,Білокуракинський район,54,18307,0.00294969137488392,0,0,1,3
Луганська,Борівське,15,5726,0.00261962975899406,0,0,1,3
Луганська,Воронове,0,836,0,0,0,0,0
Луганська,Гірське,24,9436,0.00254345061466723,0,0,1,3
Луганська,Золоте,12,13374,0.000897263346792284,0,0,0,1
Луганська,Кремінський район,108,37753,0.00286069981193548,0,0,1,3
Луганська,Лисичанськ,735,96161,0.00764343132870914,0,1,4,8
Луганська,Марківський район,213,14242,0.0149557646397978,0,1,7,15
Луганська,Метьолкіне,3,785,0.00382165605095541,0,0,2,4
Луганська,Міловський район,108,14885,0.00725562646960027,0,1,4,7
Луганська,Нижнє,3,2258,0.00132860938883968,0,0,1,1
